factor_name,signal_name,high_drift_threshold,n_high_drift,n_normal_drift,mean_future_4w_ls_high,mean_future_4w_ls_normal,mean_future_12w_ls_high,mean_future_12w_ls_normal,mean_future_4w_ic_high,mean_future_4w_ic_normal,mean_future_12w_ic_high,mean_future_12w_ic_normal,downside_prob_high,downside_prob_normal,worst_quantile_4w_ls_high,worst_quantile_4w_ls_normal,interpretation
liquidity_1m,12w_mean,0.9297353317492824,15,60,0.001015394863136174,0.00043030454685976315,0.0016721177854862614,8.290219174658225e-05,9.64929966616429e-05,-0.019661437337249076,-0.005196358389637949,-0.02027942110858916,0.4,0.48333333333333334,-0.00912665535288322,-0.015378621626097048,"Relationship is mixed; treat as instability monitoring, not a reliable return forecast."
liquidity_1m,4w_mean,1.1902981767791738,15,60,0.0049344829284323505,-0.0005494674694642818,0.0014610742118943924,0.00013214569225135164,0.015065394712606362,-0.023403662766235258,-0.0037459733386775024,-0.020617844287146598,0.26666666666666666,0.5166666666666667,-0.007573019712457227,-0.015688991184415524,"Relationship is mixed; treat as instability monitoring, not a reliable return forecast."
liquidity_1m,8w_mean,1.121002985898659,15,60,0.0013210981959161498,0.0003538787136647692,0.0008059216954307173,0.00028501461275954253,0.003503291672076321,-0.020513137006102748,-0.007229808089511726,-0.01980494951195195,0.3333333333333333,0.5,-0.00912665535288322,-0.015378621626097048,"Relationship is mixed; treat as instability monitoring, not a reliable return forecast."
liquidity_1m,ewma_hl12,0.6444774899035431,15,60,0.0016638350734452631,0.00026819449428249083,0.00026064315199243087,0.00041224627289514253,-0.0007904121650928511,-0.01943971104681046,-0.017312344905697562,-0.01745235758817525,0.4,0.48333333333333334,-0.00884039750703377,-0.015378621626097048,"Relationship is mixed; treat as instability monitoring, not a reliable return forecast."
liquidity_1m,ewma_hl4,0.9100026904352719,15,60,0.0010267045267522913,0.00042747713095573383,0.0003332508430944914,0.00039530447830466185,-0.0018683962783127912,-0.019170215018505472,-0.0103518646084254,-0.01907646965753875,0.4,0.48333333333333334,-0.00912665535288322,-0.015378621626097048,"Relationship is mixed; treat as instability monitoring, not a reliable return forecast."
liquidity_1m,ewma_hl8,0.7739608389085434,15,60,0.001258351406392694,0.0003695654110456332,0.00036550590570325574,0.0003877782970292834,-0.0011797697577105748,-0.01934237164865603,-0.013536820075080325,-0.01833331338198594,0.4,0.48333333333333334,-0.00884039750703377,-0.015378621626097048,"Relationship is mixed; treat as instability monitoring, not a reliable return forecast."
momentum_3m,12w_mean,0.09512068687873108,15,58,-0.006611253740491165,0.002260026628679125,-0.0032390987246777316,0.0010231422848933098,-0.05540947576486093,-0.00033051910344249154,-0.04629638631300104,-0.006689670684292193,0.6666666666666666,0.4827586206896552,-0.024175129486248427,-0.0148578613064302,High drift is followed by broad deterioration.
momentum_3m,4w_mean,0.2206618630157077,15,58,-0.0033324940978342443,0.0014120715486816448,-0.002174238168869843,0.0007429158228386023,-0.04003862431954199,-0.004305739304818081,-0.032409131425321605,-0.010344211444207831,0.6666666666666666,0.4827586206896552,-0.018810093803693813,-0.016239659716068562,High drift is followed by broad deterioration.
momentum_3m,8w_mean,0.18123891364861572,15,58,-0.004943769878064956,0.0018287808021895879,-0.0021894282486571845,0.0007469132122563237,-0.05063382720156554,-0.001565600628432678,-0.037047693240303776,-0.009123537282370416,0.6,0.5,-0.024175129486248427,-0.015603929400592496,High drift is followed by broad deterioration.
momentum_3m,ewma_hl12,0.4606308122200219,15,58,-0.003402442879551932,0.001430161750850013,-0.003731288975128849,0.0011526660350120253,-0.04541924480635032,-0.0029141995237469604,-0.04613207449121885,-0.006732910637392767,0.6666666666666666,0.4827586206896552,-0.018810093803693813,-0.01622420124331776,High drift is followed by broad deterioration.
momentum_3m,ewma_hl4,0.15307781110253627,15,58,-0.0048584520226055685,0.0018067158395707807,-0.0031652368924207997,0.0010037049606151697,-0.05249299610124147,-0.0010847810854130431,-0.04280650331426037,-0.007608060947118685,0.6666666666666666,0.4827586206896552,-0.024175129486248427,-0.015603929400592496,High drift is followed by broad deterioration.
momentum_3m,ewma_hl8,0.3581624806984045,15,58,-0.002883498469176467,0.0012959519895460133,-0.0033746848235889143,0.0010588228372383575,-0.04386403000376713,-0.003316410248552958,-0.04566586822995981,-0.00685559649561883,0.6666666666666666,0.4827586206896552,-0.018810093803693813,-0.01622420124331776,High drift is followed by broad deterioration.
reversal_1m,12w_mean,0.29861813346902033,15,60,-0.0035695792562528924,-0.0009249907228039833,-0.0032971850045943212,-0.0002412617546081586,-0.0005520273734001407,0.007373007681008886,0.0006540076119248645,0.014370494516800433,0.6666666666666666,0.6,-0.022153351848104654,-0.014195281491560777,High drift is followed by broad deterioration.
reversal_1m,4w_mean,0.33976029500747557,15,60,0.0014796191877020604,-0.0021872903337927223,-0.0028224085742420955,-0.0004029749758567813,0.029461750119878737,-0.00013043669231083108,0.0015185661347231244,0.013940156079732912,0.6,0.6166666666666667,-0.01242877742009546,-0.01633676584116575,"Relationship is mixed; treat as instability monitoring, not a reliable return forecast."
reversal_1m,8w_mean,0.3713887971196206,15,60,-0.002455948572183847,-0.0012033983938212446,-0.0031110404174571624,-0.0002885866496430299,0.003101023038580204,0.006459745078013802,0.0017577763984757883,0.01408987533377901,0.6666666666666666,0.6,-0.022153351848104654,-0.014195281491560777,High drift is followed by broad deterioration.
reversal_1m,ewma_hl12,0.16407461463782716,15,60,0.0013818492669920696,-0.002162847853615224,-0.0001579353209614297,-0.001039376080955504,0.03246932341879721,-0.000882330017040452,0.016421489739237988,0.01036181262002591,0.4666666666666667,0.65,-0.01242877742009546,-0.01633676584116575,"Relationship is mixed; treat as instability monitoring, not a reliable return forecast."
reversal_1m,ewma_hl4,0.2963852837894227,15,60,-0.00037673183416082163,-0.0017232025783270007,-0.0023600500732740815,-0.0004795163981641521,0.019643163965643046,0.00232420984624809,0.006369776826196757,0.012917332852155036,0.6666666666666666,0.6,-0.01242877742009546,-0.01633676584116575,"Relationship is mixed; treat as instability monitoring, not a reliable return forecast."
reversal_1m,ewma_hl8,0.22459613574542817,15,60,0.0014520880759924845,-0.002180407555865328,-0.0013152872458628763,-0.000745134066150052,0.03553519279902727,-0.0016487973620979693,0.013781199284451286,0.011033072905141172,0.5333333333333333,0.6333333333333333,-0.01242877742009546,-0.01633676584116575,"Relationship is mixed; treat as instability monitoring, not a reliable return forecast."
turnover_1m,12w_mean,0.1585459704354195,15,60,0.002292484319644372,3.1389841869576175e-05,-0.0008514352098794071,0.0006919676155960693,0.05340888775946919,0.04281357147731943,0.03361238864956671,0.047816482854100235,0.5333333333333333,0.48333333333333334,-0.011162335987947266,-0.026375113122281007,"Relationship is mixed; treat as instability monitoring, not a reliable return forecast."
turnover_1m,4w_mean,0.46196267665641766,15,60,0.0024636028679466356,-1.1389795205989904e-05,0.0025560736483081067,-0.00010311778464768386,0.052251644000502154,0.04310288241706118,0.052993083788018404,0.04329432065512817,0.5333333333333333,0.48333333333333334,-0.012198256746177794,-0.026375113122281007,"Relationship is mixed; treat as instability monitoring, not a reliable return forecast."
turnover_1m,8w_mean,0.18735665501380772,15,60,0.003511283089615073,-0.0002733098506230994,0.0014135750477735213,0.00016346522214371933,0.061525103823166005,0.04078451746139522,0.04557219263356306,0.04502586192450109,0.4666666666666667,0.5,-0.011162335987947266,-0.026375113122281007,"Relationship is mixed; treat as instability monitoring, not a reliable return forecast."
turnover_1m,ewma_hl12,0.34973229401105427,15,60,-0.0055811742616607585,0.001999804487195859,-0.0037306337167441342,0.0013637806005311723,-0.0016931410325224502,0.05658907867531734,0.01880777922217986,0.0512708917204905,0.6,0.4666666666666667,-0.03273144186039782,-0.014934016772587202,High drift is followed by broad deterioration.
turnover_1m,ewma_hl4,0.1324753209991873,15,60,0.0022576375761631665,4.01015277398781e-05,-0.0010282869170534933,0.0007332330139366892,0.05397858296427089,0.042671147676119,0.031895441412000326,0.04821710387619906,0.5333333333333333,0.48333333333333334,-0.011162335987947266,-0.026375113122281007,"Relationship is mixed; treat as instability monitoring, not a reliable return forecast."
turnover_1m,ewma_hl8,0.32094625807141797,15,60,-0.002113526850386676,0.0011328926343773381,-0.004302783479694311,0.0014972822118862132,0.03483398970811729,0.04745729599015739,0.017692123498220188,0.051531211389414425,0.6,0.4666666666666667,-0.017650119992256023,-0.016720115668706046,High drift is followed by broad deterioration.
volatility_1m,12w_mean,0.8234334726587261,15,60,0.0014242903318119262,-0.00123110077847336,0.0022697207854383973,-0.0011834402032661704,0.05065560670951292,0.03751549827718395,0.05122256788032476,0.03827524199675775,0.5333333333333333,0.48333333333333334,-0.02070536385557408,-0.020976416951749687,"Relationship is mixed; treat as instability monitoring, not a reliable return forecast."
volatility_1m,4w_mean,1.198271372159886,15,60,-0.0018972675620144545,-0.0004007113050167649,0.00015632401022112828,-0.0006327616059037315,0.036491323749957554,0.041056569017072796,0.04246588991131894,0.04053425562091857,0.6666666666666666,0.45,-0.023246927803731294,-0.020976416951749687,"Relationship is mixed; treat as instability monitoring, not a reliable return forecast."
volatility_1m,8w_mean,0.8726207799109028,15,60,-0.0029291634562414333,-0.00014273733146001998,0.00015292790785042702,-0.0006319691820172346,0.034620668392855714,0.04152423285634825,0.04737037113024112,0.03938987666983672,0.6666666666666666,0.45,-0.023246927803731294,-0.020976416951749687,"Relationship is mixed; treat as instability monitoring, not a reliable return forecast."
volatility_1m,ewma_hl12,0.40337317885137725,15,60,-0.0027415404182554357,-0.00018964309095652015,-0.0015265540156332597,-0.0002400900665377077,0.0279629201617551,0.04318866991412341,0.03143991304864663,0.0431069835555421,0.6666666666666666,0.45,-0.023246927803731294,-0.020976416951749687,High drift is followed by broad deterioration.
volatility_1m,ewma_hl4,0.8026249706486783,15,60,-0.0029291634562414333,-0.00014273733146001998,0.00015292790785042702,-0.0006319691820172346,0.034620668392855714,0.04152423285634825,0.04737037113024112,0.03938987666983672,0.6666666666666666,0.45,-0.023246927803731294,-0.020976416951749687,"Relationship is mixed; treat as instability monitoring, not a reliable return forecast."
volatility_1m,ewma_hl8,0.5436256474528325,15,60,-0.0004187539913386692,-0.0007703396976857117,-3.096934766458383e-05,-0.0005985189829857513,0.04326467682530828,0.03936323074823511,0.041817518859392,0.04066635615462201,0.6,0.4666666666666667,-0.022508900828243042,-0.020976416951749687,"Relationship is mixed; treat as instability monitoring, not a reliable return forecast."
